color,name,japanese,english
0xf7fcfe,卯の花色,うのはないろ,
0xb97e5a,梅染,うめぞめ,
0xb9909e,梅鼠,うめねず,
0xd3e8c1,裏葉柳,うらばやなぎ,
0x465daa,ウルトラマリン,うるとらまりん,ultramarine
0x465daa,ウルトラマリンブルー JIS,うるとらまりんぶるー,ultramarine blue
0xd75f55,潤朱,うるみしゅ,
0xf4e0c4,エクリュ,えくりゅ,?cru
0xf4e0c4,エクルベージュ JIS,えくるべーじゅ,ecru beige
0xc38559,江戸茶,えどちゃ,
0x6d5498,江戸紫 JIS,えどむらさき,
0x30583b,エバーグリーン,えばーぐりーん,evergreen
0x691c2a,海老色,えびいろ,
0x691c2a,蝦色,えびいろ,
0x691c2a,葡萄色,えびいろ,
0x7e5767,葡萄染,えびぞめ,
0x7c4036,海老茶 JIS,えびちゃ,
0x7c4036,葡萄茶,えびちゃ,
0x474931,エボニー,えぼにー,ebony
0x00b379,エメラルドグリーン JIS,えめらるどぐりーん,emerald green
0x7a903e,エルムグリーン,えるむぐりーん,elm green
0xb3424a,臙脂 JIS,えんじ,
0xb3424a,臙脂色,えんじいろ,
0xe66b58,鉛丹色 JIS,えんたんいろ,
0xedf0e0,オイスターホワイト,おいすたーほわいと,oyster white
0x769164,老竹色,おいたけいろ,
0xc69e6e,黄褐色,おうかっしょく,
0x9b92c6,楝,おうち,
0x9b92c6,樗,おうち,
0x9b92c6,楝色,おうちいろ,
0x9b92c6,樗色,おうちいろ,
0xba8448,黄土色 JIS,おうどいろ,
0xf47a55,黄丹 JIS,おうに,
0xf47a55,黄丹,おうだん,
0xb2d235,黄緑色,おうりょくしょく,
0xbb8b38,オーカー,おーかー,ocher
0x1a4472,狼色,おおかみいろ,
0xd2a3cb,オーキッド JIS,おーきっど,orchid
0xd5848c,オールドローズ JIS,おーるどろーず,old rose
0x007c8a,御納戸色,おなんどいろ,
0x2a6e6b,御納戸茶,おなんどちゃ,
0xb4ddc0,オパールグリーン,おぱーるぐりーん,opal green
0xb4ddc0,オパール色,おぱーるいろ,
0xfff9ee,オフホワイト,おふほわいと,off white
0x848455,御召茶,おめしちゃ,
0x6d5f1a,オリーブ JIS,おりーぶ,olive
0x6d5f1a,オリーブ色,おりーぶいろ,
0x576128,オリーブグリーン JIS,おりーぶぐりーん,olive green
0x6e6339,オリーブドラブ JIS,おりーぶどらぶ,olive drab
0x3155a6,オリエンタルブルー JIS,おりえんたるぶるー,oriental blue
0xf58220,オレンジ JIS,おれんじ,orange
0xf58220,オレンジ色,おれんじいろ,
0xb18b55,カーキ,かーき,Khaki
0xb18b55,カーキー JIS,かーきー,Khaki
0xb1221a,カーディナル,かーでぃなる,cardinal
0xb1221a,カーディナルレッド,かーでぃなるれっど,cardinal red
0x691c23,ガーネット,がーねっと,garnet
0xd11c2c,カーマイン JIS,かーまいん,carmine
0xd11c2c,カーミン,かーみん,carmine
0xe6e7e8,灰白色,かいはくしょく,
0x5b8063,灰緑色,かいりょくしょく,
0x8ac75a,海緑色,かいりょくしょく,
0xf3704b,柿色,かきいろ,
0xedf0e0,牡蠣色,かきいろ,
0xb45332,柿茶,かきちゃ,
0x4b5eaa,杜若色 JIS,かきつばたいろ,
0x4b5eaa,燕子花色,かきつばたいろ,
0xfcbb76,萱草色,かぞういろ,
0x4d5269,褐色,かちいろ,
0x4d5269,搗色,かちいろ,
0x4d5269,勝色 JIS,かちいろ,
0x4d5269,褐色,かちんいろ,
0x4d5269,搗色,かちんいろ,
0x4d5269,勝色,かちんいろ,
0x2b4c5a,褐返し,かちがえし,
0x843900,褐色 JIS,かっしょく,
0xfac61e,カドミウムイエロー,かどみうむいえろー,cadmium yellow
0xffef6c,カナリーイエロー JIS,かなりーいえろー,canary yellow
0xffef6c,金糸雀色,かなりあいろ,
0xffef6c,金絲雀色,かなりあいろ,
0xae5039,樺色 JIS,かばいろ,
0xae5039,蒲色,かばいろ,
0x995d46,樺茶,かばちゃ,
0x995d46,蒲茶,かばちゃ,
0x94d6da,瓶覗 JIS,かめのぞき,
0x94d6da,甕覗,かめのぞき,
0x006956,鴨の羽色,かものはいろ,
0xd71345,唐紅,からくれない,
0xd71345,韓紅,からくれない,
0xd71345,韓紅花 JIS,からくれない,
0xc9ab53,芥子色 JIS,からしいろ,
0xc9ab53,辛子色,からしいろ,
0x180614,烏羽色,からすばいろ,
0x90563c,枯茶,からちゃ,
0x90563c,唐茶,からちゃ,
